,Unnamed: 0,Unnamed: 0.1,NEWID,Total expenses,Entertainment,Total Transportation cost,Total Housing,Total Food,Income After Taxes,Luxury expenses,Necessities,50%,30%,Income minus total expenses,possible savings,20%,50%_delta,30%_delta,20%_delta
84,84,84,3568714,12941.05,54.0,1675.0,4026.0,950.0,56644.8,6236.049999999997,6651.0,0.4696635878315397,0.44036169251193386,1220.1500000000015,406.71666666666715,0.0861614834900998,-0.03033641216846028,0.14036169251193387,-0.1138385165099002
85,85,85,3568754,8206.1,265.0,2475.0,1890.0,1855.0,54187.0,1721.1000000000006,6220.0,0.459150718807094,0.12704892317345493,5340.65,1780.2166666666665,0.39423847048184985,-0.040849281192905984,-0.17295107682654506,0.19423847048184983
86,86,86,3568774,20735.0,586.0,3575.0,9501.0,2626.0,65798.0,4447.0,15702.0,0.954557889297547,0.27034256360375697,-4285.5,-1428.5,-0.26052463600717346,0.45455788929754704,-0.02965743639624302,-0.46052463600717347
87,87,87,3568804,29042.237,8080.0,1880.0,7780.0,3790.0,106090.2,7512.237000000001,13450.0,0.5071156431036986,0.2832396206247137,-2519.6870000000017,-839.8956666666671,-0.09500168724349664,0.00711564310369861,-0.016760379375286294,-0.2950016872434966
88,88,88,3568834,8090.0,528.0,2160.0,1244.0,325.0,37862.0,3833.0,3729.0,0.39395700174317255,0.4049442713010406,1375.5,458.5,0.1453172045850721,-0.10604299825682745,0.10494427130104061,-0.054682795414927904
89,89,89,3568884,5043.5,262.0,707.0,2526.0,1160.0,12730.0,388.5,4393.0,1.3803613511390416,0.1220738413197172,-1861.0,-620.3333333333334,-0.5847604084838963,0.8803613511390416,-0.17792615868028278,-0.7847604084838964
90,90,90,3568944,4862.0,0.0,348.0,3138.0,975.0,32232.0,401.0,4461.0,0.5536113179448995,0.04976420948126086,3196.0,1065.3333333333333,0.3966244725738397,0.053611317944899484,-0.2502357905187391,0.1966244725738397
91,91,91,3568964,20554.25,177.0,1980.0,14216.0,1430.0,81290.6,2751.25,17626.0,0.86730815124996,0.13537850624795486,-231.59999999999852,-77.19999999999952,-0.011396151584561979,0.36730815124995997,-0.16462149375204513,-0.211396151584562
92,92,92,3568974,18372.0,363.0,245.0,4509.0,2360.0,28916.0,10895.0,7114.0,0.9840918522617236,1.5071240835523585,-11143.0,-3714.333333333334,-1.5414303499792503,0.4840918522617236,1.2071240835523585,-1.7414303499792503
93,93,93,3568984,2720.0,210.0,545.0,789.0,780.0,22504.2,396.0,2114.0,0.3757520818336133,0.07038686111925774,2906.05,968.6833333333334,0.5165346913020681,-0.1242479181663867,-0.22961313888074225,0.31653469130206807
94,94,94,3569004,14066.0,495.0,1118.0,6309.0,2100.0,80288.0,4044.0,9527.0,0.4746412913511359,0.2014746911119968,6006.0,2002.0,0.29922279792746115,-0.02535870864886408,-0.09852530888800318,0.09922279792746114
95,95,95,3569014,20006.0,1465.0,6059.0,6698.0,2365.0,98007.0,3419.0,15122.0,0.6171804054812411,0.13954105319007826,4495.75,1498.583333333333,0.18348689379330047,0.11718040548124109,-0.16045894680992173,-0.016513106206699546
96,96,96,3569044,5087.0,186.0,509.0,2331.0,1017.0,24923.6,1044.0,3857.0,0.6190116997544496,0.1675520390312796,1143.8999999999996,381.29999999999984,0.1835850358696175,0.11901169975444958,-0.13244796096872039,-0.016414964130382514
97,97,97,3569064,4833.0,223.0,650.0,1326.0,1300.0,28344.0,1334.0,3276.0,0.4623200677392041,0.18825853796217892,2253.0,751.0,0.3179508890770533,-0.03767993226079591,-0.11174146203782107,0.11795088907705331
98,98,98,3569074,46012.75,25033.0,5752.0,8954.0,1280.0,147095.0,4993.75,15986.0,0.4347122607838472,0.13579659403786667,-9239.0,-3079.666666666666,-0.251238995207179,-0.06528773921615277,-0.16420340596213331,-0.45123899520717903
99,99,99,3569104,4157.8,0.0,1306.0,1695.0,715.0,25403.0,441.8000000000001,3716.0,0.5851277408180137,0.06956658662362715,2192.95,730.9833333333332,0.3453056725583592,0.08512774081801366,-0.23043341337637285,0.1453056725583592
100,100,100,3569114,21121.65,30.0,4980.0,9369.0,3250.0,66962.0,3492.650000000001,17599.0,1.0512828171201578,0.20863474806606735,-4381.1500000000015,-1460.3833333333341,-0.2617096263552464,0.5512828171201578,-0.09136525193393263,-0.4617096263552464
